query,instr,cycles,branches,br_miss,l1d_miss,alloc_bytes,dealloc_bytes,ms
delete edge,356938.42405982985,183904.68590128302,-217532.43445356633,-676.368184218863,-187789.939293526,126367.696,134393.496,0.093534
aggregates,32111335.478377886,6569822.563437366,7196016.293432932,1256.074276418008,43327.20285245316,492988.368,493204.496,1.866575
WITH pipeline,16331953.233339736,3283495.0374243725,3713381.046490913,-1062.036570943808,36014.42788905511,446210.496,445836.56,0.982637
UNION,661243.3666899421,183890.7863188451,109874.38739182054,30.047271345616434,7502.564385475727,477462.176,478017.52,0.081836
EXISTS pattern,5692605.999933052,1151203.8997766667,1196948.0191323624,665.1268459131783,30888.73577818433,452019.024,451991.904,0.336575
pattern OR filter,739781516.0170486,145926270.5348639,160185858.84701133,24115.84875271535,1775307.0620743278,453140.872,452801.0,39.600342
hash join,47153611.18534347,13172253.691891447,11147799.517080616,-4594.395203358762,436622.8834762844,6269996.456,6270093.336,3.657188
shortestPath,251390.81817254375,103832.5689704966,31204.42531421789,34.213508994881416,5665.445960794042,451855.208,452002.392,0.063484
allShortestPaths,350855.7952782889,123520.85588378455,46895.941600144964,65.78457041150006,8738.034066986405,517553.04,517370.248,0.058089
CALL procedure,191853.78014067936,82914.46502652399,24350.558915798192,-46.559409890762005,5763.394421313283,394745.984,394728.544,0.046915
CREATE + DELETE,423485.2874342546,154990.38642314894,72053.47061820787,159.73555881874753,15182.808584349934,591764.456,591431.6,0.065376
FOREACH,327090.17663400556,109556.26778201622,51037.705414031865,-78.85387505382101,11112.628293181897,107791.528,108135.848,0.053095
algo.pageRank,29678497.92903213,6040378.98131318,9032850.913268784,23548.239081493393,628654.790283825,3385614.048,3384631.856,1.757836
algo.BFS,5680367.748541366,1270587.4016123584,1713051.3638490124,3170.81804224542,118769.81158528398,1345730.88,1353493.296,0.427988
algo.BFS unbounded,327302706.7159343,62682010.2742855,79926197.0081767,129542.02989082942,1580847.3413849995,16067912420677.863,70993525.456,16.879967
algo.WCC,40739693.15831262,8184972.358025627,10199100.809596676,1893.961280130867,700897.7474295204,2650431.416,2649362.528,2.328583
fulltext query,298428.8506479699,115873.38128478499,42954.55603137827,104.14414583787043,7793.770040922247,435467.696,436365.064,0.067135
vector query,278951.5451788067,107955.71882605983,41467.352414169174,144.2828895790907,8578.66229608416,451822.816,451915.44,0.054313
vec distance,197091.18886560926,87841.39390669907,23801.759815023,152.23962172755856,5391.8900686095985,435417.344,435644.784,0.048778
edge index scan,331692.41232872586,123224.24345215393,39582.428315349665,27.734564225950162,7079.337045247544,476591.872,476394.648,0.058958
UDF call,190167.59432766458,86601.57237565778,18148.153942145622,4.173351781038742,4772.989946704992,435417.344,435679.112,0.047579
db.indexes,291311.89101855166,108167.39698942831,38432.3927746447,66.374953254612,8133.230701873055,435617.96,435444.144,0.054744
db.propertyKeys,261894.30416289202,110431.36212130912,204428.76790483814,2631.1944124838124,15349.985235671313,435417.984,435450.96,0.058936
db.relationshipTypes,243747.47330326185,93708.85678028365,24194.35449154707,-16.19197008433478,5900.903306814445,435418.304,435437.096,0.048824
db.meta.stats,188662.14950907102,85012.59423057831,21404.302197506033,88.0918980351803,5502.511256731574,435424.544,435629.312,0.04779
db.constraints,249283.4080250544,97213.69314359859,29777.009444169962,61.82037712603342,7095.910550023191,451971.184,451815.624,0.05097
dbms.procedures,282458.55905879,132276.28476379937,172410.9332261712,2460.254689382592,16354.075300844013,435427.184,435437.416,0.076295
dbms.functions,371149.6619037383,162169.5971368251,-324268.58333044837,7085.475724266702,-187097.4278527585,435826.944,436673.12,0.093603
algo.betweenness,24902179.554021586,6178940.594909935,4561333.455912053,6941.79945550936,910599.4847731439,10717026.08,10713385.68,1.353665
algo.labelPropagation,555325445.7893689,158308401.46318915,160210258.29541025,263359.0875985527,6904793.3992878515,1274823.48,1273429.96,5.8963
algo.MSF,1883341.181763816,537791.0625526947,697329.5075748051,7002.249135223288,42112.41089702775,966575.0,972132.6,0.22657500000000003
algo.HarmonicCentrality,199590002.31531984,77208704.69154115,18257517.12259517,29184.175869168863,3275574.5033975956,12355270.52,12356355.44,20.361114999999998
algo.SPpaths,335895.2165622124,132650.225431222,37899.863893174916,8.390442609940422,6862.796504900331,476424.968,476565.44,0.072002
algo.SSpaths,283219.4120610825,107232.57114645629,38109.909782637966,31.34522816945432,7364.345173479006,451802.624,451857.912,0.05282
algo.maxFlow,3022244.2399073695,798611.5954411577,650743.939281126,900.5243899898761,47502.797263798544,2668940.76,2667183.68,0.2506
temporal constructors,468143.7671248228,184615.79221255862,251845.25237272994,3308.9080541724366,17912.705725325544,476582.712,477183.312,0.094563
temporal components,317490.8614304097,119160.17818862469,55565.4657561366,644.1797327808542,6949.95411456733,558323.792,558300.584,0.058073
temporal arithmetic,390594.5989602202,127654.0811878746,70047.50014548111,528.2922287722496,6711.501689841754,435419.264,435442.984,0.059687
temporal compare,386605.1364610871,122429.52681771912,45461.200099938986,-72.63957653786754,3610.5545626330154,435420.464,435438.544,0.056262
NOT pattern,5771191.896964083,1170537.013764593,1175046.1909338995,-573.3763925905726,19788.47125909754,452062.792,451818.272,0.338557
map ops,230344.76332326114,103884.11201816564,27260.638432523345,139.38437633604917,5437.608349869915,492772.704,493048.88,0.056901
list slicing,256932.49834336285,108425.80413811556,32401.09346840778,136.25876205249608,5920.770440027863,492803.056,492768.656,0.054769
null handling,219548.85107676912,97513.40973075702,28036.505515647576,179.86365020921616,5413.937193916856,492762.704,492841.32,0.051405
boolean ops,638676.275567449,190215.39174476027,127371.95499967982,342.26457544432463,8455.794160302961,435627.184,435416.08,0.077267
order by mixed types,197468.7031780992,87363.05110839574,16860.16649869982,-136.2652520508502,5179.571230389125,394756.624,394697.0,0.046727
SET += map,429079.62205110025,142873.4362947509,63046.20450202866,-226.1369626931945,8112.725361278804,435538.336,435777.76,0.061689
SET = map,236135.64774765688,99583.47410664555,23157.54940717037,-181.16909473759455,5580.000906029449,435457.744,435465.48,0.050493
SET/REMOVE label,485933.85353105556,148754.12020491346,83886.73241022458,-164.08433464576223,7416.584031114606,67144.904,66827.168,0.063019
MERGE on create/match,576401.3077861497,173517.72344317051,104043.4851565286,-54.34773622107587,9228.977286532863,435509.032,435895.192,0.070289
DETACH DELETE,613892.397591761,225005.55563622355,321891.61014862277,3599.1508462453307,27912.020225976055,690708.832,690628.768,0.094836
trig,674454.077861001,201908.7047850711,105236.4521155844,-16.76343230955675,5648.579377569569,476556.384,476540.136,0.078518
inverse trig,234492.93505561774,100367.06171246801,21013.40689981165,-1.84295972044667,3970.506478101378,476377.344,476620.56,0.050763
math extras,1233920.7462133986,330972.8557586209,222103.56237955813,-219.282664311565,5273.008051242579,492973.984,492758.16,0.111435
power + float mod,374279.3526043778,125709.86305126087,55208.37865018095,-118.37134152188327,6472.979470773743,435419.024,435440.192,0.05768
conversion extras,277480.1255393039,115746.44579692984,79452.82978191813,680.3324668371207,7306.095097732287,558316.496,558528.568,0.061
toJSON + isEmpty,211570.73097741263,102165.10091141437,70287.46801108505,809.4029851362608,7992.938415887129,476377.344,476401.744,0.05463
string namespace,199572.8576768785,86924.50411971917,26741.116086507263,0.05448244429635815,4671.743324750346,451810.224,451812.928,0.046359
list namespace,246822.10752941246,100470.52164913529,25628.776802964436,-139.60267296116078,4539.104859749539,492771.104,492792.544,0.051055
list concat + compare,193072.69720122422,85712.02268498082,28315.302593025466,-60.66420945420931,4834.238204647143,451802.144,451821.448,0.045916
quantifiers,303217.2088871144,110350.09628382012,64234.068888593596,70.1543024721918,5924.059817272593,476405.6,476404.608,0.053213
CASE value form,19467189.17908783,4056852.2988582957,4239599.988952951,3717.036177544633,18236.256346989954,435807.024,435629.672,1.184812
pattern comprehension,262685.3563400091,117166.67067896252,26040.037538736993,63.022010820722556,5765.8564688503175,476437.264,476425.8,0.066865
point accessors,199876.24622365332,87618.63672205887,16116.818565134301,-157.7243202558139,4379.701586095148,451802.304,452045.384,0.046124
txn temporals,228625.69551012068,98527.53112891738,79066.02277745752,664.3431222483963,7585.1458823891035,476378.464,476393.84,0.050564
duration accessors,555733.931982775,158835.18546333472,85561.16979900321,191.02813373009872,4565.77006416228,509164.864,509168.016,0.066896
CALL subquery,5545589.258897664,1218454.8671438764,1357646.2749942131,4047.997061898722,47104.12059197614,509418.584,509160.992,0.378335
UNION ALL,469115.15816173994,148769.00134090212,72766.4982299785,62.79414897453343,8052.770562911305,476529.184,476628.28,0.066371
undirected,567537.4803394389,183970.46737783754,94212.35609793344,22.06287318193086,12509.752868912825,517563.408,517534.096,0.074885
multi-type,587759.404636596,193756.76735406552,91190.30750633533,-71.19135182126938,11373.472043102018,541935.248,541937.472,0.078042
entity extras,599886.4955824398,186596.131789554,110521.47561047263,24.47784408584109,10743.868587930798,558323.552,558493.496,0.076871
expand into WITH,346051.26051338366,124950.59788415958,39832.832405472705,-91.7471775841976,7638.929279349195,517525.808,517412.992,0.057282
