query,instr,cycles,branches,br_miss,l1d_miss,alloc_bytes,dealloc_bytes,ms
vlt edge prop filter,1960147.0894906614,547880.4471003806,403085.8849862567,2662.34665835011,15533.653438341498,476562.864,476417.712,0.18396
correlated edge dyn idx,35119461.311166495,7124565.389757392,7650732.5162514625,-883.9670857724697,122102.24963201133,855342.376,855246.728,2.033859
delete return entities,3274776.3743964527,778115.740612011,967734.8163309083,2559.5239298363676,61892.40295035967,1233825.504,1231448.656,0.298918
create delete indexed,1490600.7615039856,401307.61623308196,421777.7044032843,1864.953612212837,42535.603748834226,593356.64,593074.304,0.15439
delete indexed edge,38755367.03807395,9141732.684609685,10416474.42621845,51593.611786206864,1834679.3498325932,1051175.52,1000562.864,2.607656
MERGE edge on create/match,7047699.452143384,1572578.9330873697,1508687.3453248339,-72.274573416166,75810.49726264947,598273.968,600865.336,0.499923
fulltext edge query,289404.011111189,118543.33271230776,28021.376626613095,-112.15887236767507,5796.4240646626695,476560.384,478286.952,0.067106
fulltext stopwords,264747.28657740797,102645.63624015154,36036.40369378403,118.77378984358255,7326.81402673312,435427.312,435426.168,0.051188
string index range,279568.91006480163,107756.77114259846,62465.078963295986,406.6200384478938,8935.182650389092,435441.024,435467.472,0.053122
string index between,349185.1796773579,121019.97971693329,48757.638225655195,45.57756901872053,8576.753350470384,435489.776,435417.184,0.057153
distance index scan,285711.9524543563,126527.82454309886,67576.87865409232,777.5259445351944,19940.97367450788,435419.344,435787.944,0.063244
multi-label index seek,410979.8476788754,141267.1260343294,59562.114151502086,17.999891574665437,7840.04952896293,435478.384,435451.808,0.062116
SPpaths pathCount,23981062.260656666,5241869.95966795,5763828.660536907,15391.780635921343,86188.85384661608,533706.272,533852.504,1.514398
SSpaths pathCount,14537876.747736955,2973219.2402162617,3542782.207274982,5468.145155966692,52556.72769810634,454102.872,453925.96,0.902501
SPpaths weighted,27297719.66641925,5846497.777193138,6466509.698884084,13880.796590013484,106655.40076068867,520522.792,520447.68,1.688173
betweenness default,986370233.294009,187121823.44117764,253314782.2077219,193817.2085585448,4241785.259333119,8615871.2,8593815.6,51.379850000000005
labelPropagation default,212311136.64532775,64945208.36993672,59707712.90910095,143963.474974274,2852815.08666378,2881282.4,2839799.6,3.89575
WCC typed,39217173.18821326,7501324.385763593,9644200.354003385,-3475.0930945204805,690457.1832337652,2913012.36,2916295.28,2.1565
MSF nodes yield,66382130.11161432,12862727.202625968,20321981.68351643,15180.273894060329,1101026.7838860108,8038668.84,8036816.84,4.82836
maxFlow KNOWS,381887462187.152,77102478446.17455,83179988096.1993,45082193.2317762,1700692266.454103,123905186337.16,123905246878.92,21035.522179999996
map proj in comprehension,45611752.26279804,9518665.34079835,10121684.51081627,35156.197381782484,329396.92636616237,1009360.768,1008656.488,2.761635
shortestPath in comprehension,3725661110.686683,740520424.3318694,1241003993.3152354,3232661.988184048,102248583.37281281,542492129.12,542477292.704,216.992198
nested comprehension,30268831.721030127,6570987.872105795,7922142.265587997,43278.70510328811,460178.5014421784,688165.68,686878.76,2.08409
func in comprehension,15390940.981416114,3568482.7852477063,4471092.77250891,25766.391619891245,305951.48578517255,545763.648,546081.504,1.258791
rel prop in comprehension,6012017.744179915,1490839.6130437558,1751452.2563889548,13143.929340665069,131588.31185759534,476471.144,477264.992,0.529777
param in comprehension,188840.87807226327,107430.10149119695,56619.626911117135,1021.3506354681638,19818.684549979305,394744.064,394725.32,0.070936
chained cmp in comprehension,182696.03938333818,98439.58525756544,40646.81676385523,656.2584784298732,15172.63258036876,394459.2,394499.504,0.053713
chained cmp null,195609.2988259877,98256.46214608125,45132.84397731022,735.7159761651519,13988.386961116219,451807.584,452131.256,0.053627
rel subscript,15047577.227927377,3302560.734992994,3696064.4238281325,16033.665441281331,221489.40571373346,476563.096,476490.288,1.038958
list null subscript,169630.25234744741,104219.15467124687,60726.04390005303,1361.9396313776015,18895.013422670483,394744.16,394558.568,0.067469
null iterable,233581.85103135233,123816.072533633,112158.6369238789,2093.937722405329,23093.015303968376,492779.376,493096.12,0.067614
single multi true,181243.36208247356,103936.79146335235,181630.86196804786,2688.5498813863296,24338.836402154502,394744.328,394497.408,0.058859
unary minus null,2838621.1107111466,838585.8182137995,1385587.752313761,7978.110398569651,107056.15261941944,435444.88,435751.984,0.37986
untyped shortestPath,3763838141.883018,810210977.0282294,1476888341.8018787,4334034.540540032,129150141.69109729,739745631.28,739744489.976,241.422629
zero hop shortestPath,3646580914.474407,720820853.3442271,1268036208.88559,3532776.2299137823,107776736.44615549,411018509.168,411003101.368,213.438894
date components,652907.1078980904,196537.71486442495,141815.93382725643,1214.9826311787756,17797.40209956794,492774.928,493315.648,0.091747
temporal props read,293928.3670792222,121778.56988626721,88138.91813328525,1051.9791694506187,15521.925478079433,492781.4,492796.184,0.060746
point order by,184682.9209950729,95061.75305401118,35247.970222584365,586.2538398430006,13693.968694767518,394752.784,394493.008,0.051762
mixed type order by,15009759.919789294,3478774.4598383536,8539536.21295051,45075.69465541161,531064.6026029228,1277871.672,1277265.768,2.051628
call union,200582.35667376444,103744.85195917317,51075.76872641044,770.9157744997349,17646.524866432817,394878.528,395449.352,0.063852
call union import,9485812.217531191,2611739.42275725,3469304.7166976687,33332.184385984765,269321.8714308666,534232.464,534186.552,0.850301
label predicate,31359815.440685816,6582568.125951408,8741908.751634544,37381.710156318455,433690.31942359544,435417.344,435698.832,2.016338
match pending edge,23765356.804722484,6382641.457602987,6825665.381128968,52216.29421960165,717938.8232754362,5843921.76,5840226.64,1.9741439999999997
delete pending connected,2805840.182457556,734376.3353934357,879504.3236556866,5414.173279680017,101191.07186074599,824048.704,825793.968,0.281294
rereferenced node labels,6133394.602524074,1433365.3108821006,1652020.2010301228,10131.103440622677,109863.82672867301,451847.344,453121.672,0.485664
rereferenced node attrs,6178470.710315013,1429498.7938547207,1499427.1784894012,7062.493860567452,91082.6128546808,476422.16,476408.696,0.48858500000000005
betweenness labeled,910384375.4466673,182186264.06902552,225378454.4718306,914641.1346104525,11572797.51903006,7843060.4,7822365.2,53.45095
WCC labeled,48452618.527733326,10049524.682066888,14589820.585538836,53135.85082532405,1465220.3486525565,4232747.72,4232472.6,3.0317100000000003
all edges scan,228425.66190911058,131841.82943631234,114375.6238945647,2244.235058022945,24354.600064540646,476410.864,477061.408,0.077047
sci notation,220407.3789504544,109103.79427846213,61185.47784794067,1003.0311047334219,16001.041444731527,476378.784,476597.904,0.056743
string escapes,187072.18814847147,92924.58537764038,46109.04573484891,660.4122814810875,13583.56040798097,451802.144,451795.52,0.051312
backtick var,1828134.5693532939,492267.6922630727,929875.3159158487,5334.868576124257,81801.00051439111,435453.08,435416.68,0.265837
distinct aggs,11690412.140724806,2974434.3832202815,3284005.6431193193,25961.876442076635,213629.88900614367,525921.632,525542.088,0.941846
chained eq in comprehension,227794.40792642874,127600.79339823418,119821.1794415819,2145.6118301464094,22608.44378345854,435417.344,435848.872,0.078991
compact date strings,361398.8177193185,129015.47657283631,75302.60079284493,896.9067062947713,13865.588222138842,451801.984,451830.376,0.063249
compact time strings,361773.96769666136,135477.98641530826,99772.41804441466,1386.102762040859,16848.41780071584,451801.984,451800.352,0.066249
duration map full,230235.7942105338,103882.63135349333,57162.14033792306,840.387804473585,16951.013369807377,394745.184,394466.04,0.055276
datetime accessors,506885.89592410135,169435.37548110605,126151.62750535751,1592.2773266644613,20942.51149216848,476474.496,476830.92,0.076651
time accessors,369425.7228523873,140725.14965606562,106554.1764929036,1621.9067071608943,19317.855805219348,451803.424,451798.944,0.068139
set copy entity,328448.38073338533,131422.664957673,82337.4475050995,1049.8257664825255,17727.68901698167,109045.104,108859.44,0.06708
set merge entity,337169.05449631694,136335.67639900188,100972.32622128204,1805.932081811245,20158.85854617634,125251.616,125306.368,0.06934
create delete no with,1472408.8603593032,416295.56592052616,423766.30760860874,2976.0640704003617,60298.17365507347,594931.84,592425.68,0.15501
create delete rel no with,2797085.359337926,704005.6205031328,896908.909260816,5312.3472602043785,94011.56710814571,781116.528,781251.824,0.24522999999999998
rel mixed order by,370950.7434742416,153346.7187207559,114099.52370690787,1334.04826342782,19386.35819757585,492818.472,494346.688,0.072925
labelPropagation all types,154762444.9699176,47160380.432933666,44960660.498057656,144193.83617673902,2576655.147688332,2876071.2,2809710.4,3.5263500000000003
WCC all types,38258476.270900995,7909670.541668227,10873767.080435872,34213.222410449336,1154238.7352656638,2898535.68,2903827.04,2.4097
reversed 2hop chain,11878458.638474131,3050375.4222390195,3872558.6687202547,34050.39666211783,381560.0680293082,4582432.944,4582595.184,1.021513
reversed chain mid filter,9080444.258574108,2393245.7380862357,2608684.658498789,18232.94384162047,278099.1811451124,4606907.144,4606806.848,0.790331
bidir anon 2hop dedup,43475720.05089606,10916255.32557938,11421531.4795156,74160.41182172092,919689.3111032884,25227076.872,25227097.472,3.320792
traverse inline rel attrs,102110214.90083204,22399228.146930613,26157216.356611494,114825.79328521823,1431613.9167184704,8734693.24,8734756.376,6.676552
expand-into inline rel attrs,103065291.6597849,22508855.06165196,27020614.64790406,129100.56695626625,1486914.0435558246,8734882.264,8734833.504,6.708216
cartesian split filter,5122374501.088254,1086392870.3303208,1391266679.0868824,5199321.732380556,86083706.34260094,479767.096,479768.096,320.032873
index le range,1306460.0772687534,346024.60181616776,359753.68912329077,2119.9363562173853,42016.456070713895,435425.024,435462.128,0.139591
edge index lt range,381354.60532317037,161368.70931425478,120975.86413086773,1637.868325271682,24498.774775652462,476411.104,476410.8,0.075715
index same-bound and,11426789.045127682,2264449.918310792,3328932.4901384134,15778.59559244827,269436.5619230297,435442.208,435452.064,0.74709
runtime-bound index range,827227.2534317573,250478.73727635617,214661.99287192483,1155.4429414397594,31403.207617509986,452135.792,451872.976,0.109269
write 1,1499614.5986886786,455176.1871995588,555034.042873165,4930.081835097776,76454.51140159095,633445.184,632247.992,0.178529
write 10,2149742.259421754,542323.9407896823,590807.5750491752,3107.6546289029156,68285.25606840246,632045.496,632037.92,0.188582
write 100,8018775.004032575,1684150.706811554,2079345.4177868252,10028.618201019068,151394.2643854671,636926.544,635858.768,0.541474
write 1k,66793990.23989885,12812875.248887327,18159917.470477402,84856.48157581738,953389.6892548198,935236.64,917544.28,3.834035
write 10k,656702195.7229607,121275384.2641468,178380776.84965995,841393.5458138117,9848907.991190307,14482993.12,14505022.88,35.87196
write 100k,6534845307.6355095,1214712683.4577584,1758669920.6924121,8107969.147103009,97471896.42509869,119378964.0,119426656.8,357.2629
write 1m,20544481606.30744,5610211406.102875,5182450976.956434,16333399.58845496,382891600.63854283,1451902168.0,1453189648.0,862.5155
create 100,518565.48188416095,201872.29489612737,167854.0295896677,1721.3565749821705,31134.482770482653,110837.216,117224.928,0.103522
delete 100,10453837.627237977,2247173.746176268,3417711.2592018815,21273.488621532724,284177.0805646997,938983.952,942546.32,0.756584
create 10k,32355419.273478966,7214686.801766812,9344256.827481728,48456.874628353326,989245.524474609,6320673.76,6102540.48,2.27756
delete 10k,808449682.4392457,176045377.18656808,229981422.65546012,1011543.5483945665,15604324.528696086,37885075.52,38157974.72,40.42084
urel create delete,446760.2187114322,197502.8498991495,125453.01839973066,703.1193403870268,23193.768472201737,192679.504,208613.68,0.112748
LOAD CSV,862267.5217230557,270612.61394445685,78251.38684952402,-30.878286192267552,6893.23506566109,437992.256,445630.032,0.111656
LOAD CSV headers,1401001.8093371503,381400.4331504282,162287.31867352646,96.40865300612373,8446.401814400331,455985.728,456398.992,0.12422400000000001
LOAD CSV set,1218193.4826984203,350688.75362429005,129229.84880800499,184.60527760884293,13352.761904627694,458112.808,458705.616,0.116905
