query,instr,cycles,branches,br_miss,l1d_miss,alloc_bytes,dealloc_bytes,ms
return entities,420689.96660752845,165701.82264112777,130072.15581965064,856.8285101853523,14155.683268602992,24343.744,23076.688,0.067641
return path,387845.0512794137,152344.21841350858,94432.99920751985,401.32931361308124,11377.344043749032,1919.344,2764.016,0.05882
UDF node API,450936.3688733576,174013.42939978515,115863.18861380509,663.0989406227959,15102.46188161189,1627.04,2161.248,0.065748
vector edge query,307191.38821198966,128488.22854538004,6156.88340401487,-191.2701528105871,4572.814856006152,1949.216,1974.424,0.050979
SET edge prop,586608.5721628957,233892.85464099556,235276.13218183388,2219.898295100495,25258.99835725755,2804.592,2103.008,0.088548
edge += map,575533.9998229253,203120.65535573044,142772.54155364604,604.5695595233894,18137.207299295584,1954.424,1952.488,0.073706
REMOVE edge prop,582992.4594697516,206603.93734219347,157518.0160384637,659.175840053306,19212.12011034093,1904.328,2214.872,0.073836
MERGE edge,558202.2265416045,190637.70041425683,44203.908497631404,-327.5651516371088,8819.863098643775,2140.096,2315.768,0.069081
multi-edge read,465199.6252162544,187648.52061498858,191019.04315793008,1950.9232595151977,22001.158918770925,2123.376,2336.176,0.071364
multi-edge undirected,386033.4462142804,155962.3656326633,104896.4860371204,689.8692979889032,13951.919116235627,1826.848,1940.392,0.059818
multi-edge demote/promote,6702689.875966252,1371110.6093109483,2327547.2119872104,6044.251929695196,237625.58612156755,1737391.456,1735247.424,0.40848
UDF echo scalars,2477192.5907097934,567521.2110577899,337080.05253378215,-264.33164256529557,-2584.112444722643,1829.544,3321.592,0.172379
UDF echo bigint,273644.0784351347,118874.31548412974,679.0965271801427,-230.34030914160923,3727.619984099436,1460.936,1387.192,0.047652
UDF echo list+map,6695495.04250115,1390410.9152304207,1400724.1667455125,2222.7667091891617,20873.02898089735,2257.536,2379.12,0.405412
UDF echo entities,651959.5876777171,223380.20093760718,187295.78089558505,1130.8225843335981,17890.67550132699,2283.192,1997.032,0.086586
UDF echo path,576296.4886596181,201002.54356254966,153875.83948832352,818.6483635378573,16441.813195760427,1877.24,1872.064,0.073936
UDF echo point+date+vec,419173.79327467055,160036.83073735464,137255.1522978011,496.34143642338205,13302.862589074131,1645.528,1457.368,0.061472
delete path,25886004.53712108,4792048.668199964,8355025.379576058,12312.751984953902,692921.16280382,7129561.712,7130253.632,1.387018
delete optional null,416640.58110116486,162671.7057638951,8176.342824935287,-418.1228263138861,7900.069997272097,2033.856,1909.848,0.069934
equality matrix,321266.39414203446,131289.79947032605,9423.963760382652,-183.7023794504099,4311.990810289114,1825.536,2095.552,0.052143
